mediaR,mediaG,mediaB,desvR,desvG,desvB,energia,contraste,varianza,clasificador
medio,medio,medio,alto,medio,medio,bajo,bajo,alto,incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,medio,no incendio
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,bajo,humo
alto,medio,bajo,medio,medio,bajo,bajo,bajo,bajo,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
alto,medio,bajo,medio,medio,medio,bajo,bajo,medio,incendio
medio,medio,medio,medio,medio,medio,bajo,bajo,bajo,no incendio
medio,medio,medio,medio,medio,medio,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,incendio
medio,medio,bajo,medio,medio,medio,bajo,bajo,alto,no incendio
medio,medio,bajo,alto,medio,medio,medio,bajo,bajo,humo
alto,medio,medio,alto,alto,alto,bajo,bajo,alto,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,medio,humo
alto,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,humo
alto,medio,medio,medio,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
medio,medio,medio,alto,medio,medio,bajo,bajo,alto,incendio
medio,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,no incendio
medio,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,alto,medio,medio,bajo,bajo,medio,incendio
medio,medio,medio,medio,medio,medio,bajo,medio,bajo,no incendio
medio,medio,medio,bajo,bajo,medio,medio,bajo,medio,humo
alto,medio,bajo,alto,medio,medio,bajo,bajo,medio,incendio
medio,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
medio,bajo,bajo,medio,medio,bajo,bajo,bajo,medio,humo
medio,bajo,bajo,alto,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,humo
alto,medio,alto,medio,medio,bajo,bajo,bajo,bajo,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,medio,no incendio
medio,medio,medio,medio,medio,medio,medio,bajo,bajo,humo
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,medio,humo
alto,alto,medio,medio,medio,bajo,bajo,bajo,bajo,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,medio,no incendio
medio,medio,medio,medio,medio,medio,bajo,medio,bajo,humo
medio,bajo,bajo,alto,alto,bajo,bajo,bajo,alto,incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,bajo,no incendio
bajo,bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,humo
alto,medio,medio,medio,bajo,bajo,bajo,medio,bajo,incendio
medio,medio,bajo,medio,medio,bajo,bajo,bajo,bajo,no incendio
medio,medio,bajo,medio,medio,medio,bajo,bajo,medio,humo
medio,bajo,bajo,alto,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
alto,alto,medio,medio,alto,alto,bajo,bajo,alto,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,medio,medio,alto,medio,medio,bajo,bajo,medio,incendio
bajo,medio,medio,alto,medio,bajo,bajo,bajo,alto,no incendio
bajo,medio,medio,alto,alto,medio,medio,bajo,medio,humo
alto,medio,bajo,medio,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,medio,bajo,medio,bajo,bajo,humo
alto,medio,medio,bajo,bajo,medio,bajo,bajo,bajo,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,bajo,humo
medio,bajo,bajo,alto,medio,medio,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
alto,medio,bajo,alto,alto,medio,bajo,bajo,alto,incendio
medio,medio,bajo,medio,medio,medio,bajo,bajo,alto,no incendio
medio,medio,bajo,alto,alto,medio,bajo,bajo,medio,humo
medio,medio,medio,alto,medio,medio,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,bajo,medio,no incendio
bajo,bajo,bajo,medio,medio,medio,medio,bajo,medio,humo
alto,medio,medio,alto,alto,medio,bajo,bajo,alto,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,medio,medio,medio,medio,medio,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,medio,humo
medio,medio,medio,medio,medio,medio,bajo,bajo,bajo,incendio
medio,medio,bajo,medio,medio,medio,bajo,bajo,bajo,no incendio
medio,medio,bajo,medio,medio,medio,bajo,bajo,medio,humo
medio,bajo,bajo,alto,bajo,bajo,bajo,bajo,bajo,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,humo
medio,bajo,bajo,alto,bajo,bajo,bajo,bajo,bajo,incendio
bajo,bajo,bajo,bajo,medio,medio,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,bajo,humo
medio,bajo,bajo,medio,bajo,bajo,bajo,bajo,bajo,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
alto,medio,medio,medio,bajo,medio,bajo,bajo,bajo,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,medio,bajo,bajo,medio,bajo,medio,humo
medio,bajo,bajo,medio,medio,medio,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,humo
alto,medio,medio,alto,alto,medio,bajo,bajo,alto,incendio
medio,medio,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
medio,medio,bajo,bajo,bajo,bajo,alto,bajo,medio,humo
alto,medio,bajo,medio,alto,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,medio,bajo,medio,alto,medio,bajo,bajo,alto,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,bajo,alto,medio,medio,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,bajo,bajo,no incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,medio,humo
medio,medio,bajo,alto,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
medio,bajo,bajo,alto,medio,bajo,bajo,bajo,medio,incendio
medio,bajo,bajo,medio,medio,medio,bajo,bajo,bajo,no incendio
medio,bajo,bajo,bajo,bajo,bajo,medio,bajo,alto,humo
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,medio,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,medio,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,medio,medio,bajo,humo
bajo,bajo,bajo,alto,alto,alto,bajo,bajo,medio,no incendio
bajo,bajo,bajo,medio,medio,medio,bajo,bajo,alto,incendio
medio,medio,medio,medio,medio,bajo,bajo,bajo,bajo,humo
medio,bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,humo
medio,medio,bajo,medio,alto,medio,bajo,bajo,bajo,no incendio
medio,medio,bajo,medio,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,humo
bajo,bajo,bajo,alto,medio,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,incendio
alto,alto,alto,bajo,bajo,bajo,bajo,alto,bajo,humo
medio,bajo,bajo,medio,bajo,bajo,bajo,medio,bajo,humo
bajo,bajo,bajo,alto,medio,bajo,bajo,bajo,bajo,no incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,medio,bajo,bajo,humo
bajo,bajo,bajo,medio,alto,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,alto,incendio
alto,medio,medio,medio,medio,medio,bajo,bajo,medio,humo
alto,alto,alto,bajo,bajo,bajo,alto,bajo,bajo,humo
medio,medio,medio,medio,medio,medio,medio,bajo,medio,humo
medio,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,incendio
alto,alto,alto,bajo,bajo,bajo,medio,bajo,bajo,humo
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,medio,no incendio
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,medio,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,medio,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,medio,medio,medio,medio,medio,bajo,medio,humo
bajo,bajo,bajo,medio,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,incendio
alto,medio,medio,bajo,bajo,bajo,bajo,medio,bajo,humo
alto,alto,alto,bajo,bajo,bajo,alto,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,alto,bajo,bajo,medio,alto,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,medio,bajo,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,incendio
alto,alto,alto,bajo,bajo,bajo,alto,medio,bajo,humo
alto,alto,alto,bajo,bajo,bajo,alto,medio,bajo,humo
alto,alto,alto,bajo,bajo,bajo,alto,medio,bajo,humo
